"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2","D","13.11.2014 Weiterbildungsabend inkl. Vorbereitung zu Linux und Kubuntu für die eheramtlichen Compirat- HelferInnen","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","10.11.2014","","","","","","13.06.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D2","D","13.11.2014 Weiterbildungsabend inkl. Vorbereitung zu Linux und Kubuntu für die eheramtlichen Compirat- HelferInnen","","Dienstleistung","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","30.11.2014","","","","","","13.06.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","13.12.2016 Schulung kivitendo Severin Meier und Mike Meyer","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0 kg","","","","13.12.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","13.12.2016 Schulung kivitendo Severin Meier und Mike Meyer","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","80.00","0.00","0.00","0.00","0.00","0 kg","","","","21.12.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","1.3.2013 Support am ersten Kurstag des neuen Compirat-Kurses im Complino","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","15.05.2013","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","13.9.2022 Umstellung Sipcall-Anschluss auf neue Kennung (Ticket #143)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
