"Artikelnummer","Typ","Artikelbeschreibung","Bemerkungen","Warengruppe","Standard-Lager","Standard-Lagerplatz","Lieferant","Lieferanten-Art-Nr.","Lagermenge","Mindestlagerbestand","Einheit","Listenpreis","Gesamt","Verkaufspreis","Gesamt","Einkaufspreis","Erzeugnis-Einkaufspreis","Gesamt","Gewicht","Grafik","Zeichnung","Mikrofilm","Buchungsdatum Beleg","Seriennummer","Lieferdatum","EAN","Projektnummer","Projektbeschreibung","Erfassungsdatum","Shopartikel","Preisgruppe keine Preisgruppe","Preisgruppe 50 CHF pro Stunde","Preisgruppe 100 CHF pro Stunde","BesitzerIn","Hersteller","Länge (mm)","Breite (mm)","Höhe (mm)","Aktion falls nicht vorhanden (nur Info)","Kurzbeschreibung","Langtext","Hauptkategorien A (entsprechen den Kategorien im Shop)","Veröffentlicht Status","Unterkategorien A (entsprechen den Kategorien im Shop)","Hauptkategorien B (entsprechen den Kategorien im Shop)","Unterkategorien B (entsprechen den Kategorien im Shop)"
"D12","D","14./15.4. - Ausbau Harddisk Jet-Laptop - Übertragen der Daten von Harddisk auf IBM-Thinkpad-Laptop: Thunderbird- und Firefox- Profil, eigene Dateien ausser ""eigene Musik"" - Arbeiten in WindowsXP: Upgrade auf Service Pack 3 sowie alle Sicherheitsupdates, Firefox 4 und LibreOffice 3.3 Installation, Neue Version von Antivir und Zonealarm installiert, Update von Java und Flashplayer, Installation von Skype - Arbeiten in Mepis7: Link anlegen auf Eigene Dateien in Windows, Automatisches Mounten der Windows-Partitionen mit Daten und den Profilen von Firefox und Thunderbird, Automatisches Mounten der Compact-Flash-Karte, Installation von kcron, Anpassen des Backupscripts auf die neuen Verzeichnisse, Backup von ""eigene Bilder"" und ""wings"" auskommentiert, da zu wenig Platz auf der Karte. Einrichten eines Cronjobs zum Backup alle 30 Minuten. Kurzeinführung für Markus","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","24.06.2011","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","1.4.2016 Überprüfen und Rücksetzen aller Konten auf Server und Laptops bei Caritas Beckenhofstrasse, Kontrolle des Druckers","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","07.03.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","1.4.2016 Überprüfen und Rücksetzen aller Konten auf Server und Laptops bei Caritas Beckenhofstrasse, Kontrolle des Druckers","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","09.09.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D28","D","14.3.2023 Auftrag 3930 aus Backup wieder herstellen","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","28.02.2023","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D28","D","14.3.2023 Auftrag 3930 aus Backup wieder herstellen","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","21.03.2023","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","14.3.2023 Rücksetzen des Bücher-Schliessens per 31.12.2022, Abschluss- und Eröffnungsbuchungen 2022/2023","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","14.03.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","14.3.2023 Rücksetzen des Bücher-Schliessens per 31.12.2022, Abschluss- und Eröffnungsbuchungen 2022/2023","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","18.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3","D","14.7. bis 19.7 Versuch, Fehler im Dateisystem auf dem Laptop zu reparieren, Wiederherstellen der Systempartition auf dem Laptop via Backup-Disk, Anlegen einer Backup-Systempartition auf dem Laptop, um für solche Fälle in Zukunft die Wiederherstellung zu vereinfachen","","Dienstleistung","","","","","0","0","psch","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","18.12.2011","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D3","D","14.7. bis 19.7 Versuch, Fehler im Dateisystem auf dem Laptop zu reparieren, Wiederherstellen der Systempartition auf dem Laptop via Backup-Disk, Anlegen einer Backup-Systempartition auf dem Laptop, um für solche Fälle in Zukunft die Wiederherstellung zu vereinfachen","","Dienstleistung","","","","","0","0","psch","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","05.06.2012","","","","","","17.07.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D27","D","14.9. Bei Laptop nach Absturz Fehler im Dateisystem korrigert, Updates installiert und getestet","","Dienstleistung","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","18.12.2011","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.11.2022 Neue E-Mail-Adressen einrichten (Ticket #147)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","15.11.2022 Neue E-Mail-Adressen einrichten (Ticket #147)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","05.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.1.2022 Wiederkehrende Rechnungen in Aufträgen deaktivieren, die versehentlich aktiviert worden waren plus fälschlicherweise erzeugte Rechnungen löschen.","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","08.08.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.3. / 23.3. Mail an Markus und Tel. Beratung","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","05.06.2012","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.3. und 22.3.2016 Passwörter zurücksetzen und Mailkonten überprüfen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","07.03.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","15.3. und 22.3.2016 Passwörter zurücksetzen und Mailkonten überprüfen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","09.09.2016","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.4.23 Mail zu Umlauten in EMail-Adressen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","09.04.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","15.4.23 Mail zu Umlauten in EMail-Adressen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","25.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.6.2024 Verbuchen des Jahresgewinns 2022 rückgängig machen und Abschlussbuchungen 2022 durchführen, damit Saldo auf den Kontenblättern korrekt angezeigt wird und kurze Anleitung zum Erstellen der Jahresabschlussbuchungen, Korrektur bei den Kontoeinstellungen von Konto 9000","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","16.06.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","15.6.23 Alle Abhollieferscheine seit 29.Mai auf 'nicht ausgelagert' zurücksetzen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","23.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","15.6.23 Alle Abhollieferscheine seit 29.Mai auf 'nicht ausgelagert' zurücksetzen","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","25.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D66","D","15.6"" Display LP156WH4 (TL)(P1) 1366x768","","","","","","","0","0","Stck","0.00","0.00","55.00","0.00","55.00","0.00","0.00","0 kg","","","","12.02.2018","","","","","","03.02.2017","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","15.9.23 Änderung 'Leerung' zu 'Austausch Ersatzmaterial' und 'LE' zu 'AE'","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","23.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","15.9.23 Änderung 'Leerung' zu 'Austausch Ersatzmaterial' und 'LE' zu 'AE'","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","25.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D27","D","15. bis 22.8. Installation eines neuen Kernels und weitere Tests mit der Ruhestellung","","Dienstleistung","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","18.12.2011","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D27","D","15. bis 22.8. Installation eines neuen Kernels und weitere Tests mit der Ruhestellung","","Dienstleistung","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","05.06.2012","","","","","","23.11.2010","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P39","W","15"" Monitor Occasion","","Peripheriegeräte Occasion","","","","","0","0","Stck","0.00","0.00","55.00","0.00","0.00","0.00","0.00","0 kg","","","","13.02.2011","","","","","","01.02.2008","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"005002","W","15"" Touchcomputer","","","","","","","1","0","Stck","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10 kg","","","","","","","","","","06.09.2022","ja","0.00","0.00","0.00","","Tyco","350","280","300","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Achtung: Bestehenden Artikel auswählen oder zuerst im Webshop erfassen!17","W","160GB Sata HDD","","","","","","","0","0","Stck","0.00","0.00","10.00","0.00","0.00","0.00","0.00","0 kg","","","","09.06.2020","","","","","","09.06.2020","nein","10.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","16.12.2022 Support wegen Problem mit dem Internet-Zugang","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","28.06.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","16.12.2022 Support wegen Problem mit dem Internet-Zugang","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","29.06.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","1.6.2011 Support Karel Kulhavy: Einrichten von Firefox als local application (Verrechnung 1.25 statt 2.5 Stunden)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","40.00","0.00","0.00","0.00","0.00","0 kg","","","","15.07.2011","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","16.2.2012 Telefon bezüglich Druckerunterstützung, 2 Mails an Jörg, Paypal-Überweisung","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","05.06.2012","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","16.2.2023 Erstellen der Liste mit den im 4.Quartal 2022 bezahlten Debitoren","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","16.02.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","16.2.2023 Erstellen der Liste mit den im 4.Quartal 2022 bezahlten Debitoren","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","21.04.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"000201","W","16 GB DDR4 So-Dimm","","","","","","","0","0","Stck","0.00","0.00","35.00","0.00","0.00","0.00","0.00","0 kg","","","","26.03.2024","","","","","","22.01.2015","ja","0.00","0.00","0.00","","diverse","0","0","0","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9","W","16-Port Gigabit Switch","","Hardwareteile neu","","","","","0","0","Stck","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","08.03.2018","","","","","","09.08.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D14","D","17.10.2023 Google-Fehlermeldung untersuchen und Website auf fehlerhafte Links kontrollieren","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","06.04.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D14","D","17.10.2023 Google-Fehlermeldung untersuchen und Website auf fehlerhafte Links kontrollieren","","Dienstleistung","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","24.10.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","17.9.23 Datenbank-Suche nach Aufträgen, bei denen noch Kompotois dem Lager Zürich zugeteilt sind","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","23.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","17.9.23 Datenbank-Suche nach Aufträgen, bei denen noch Kompotois dem Lager Zürich zugeteilt sind","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","25.09.2023","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"004224","W","17"" TFT-LCD-Monitor","","","","","","","1","0","Stck","0.00","0.00","80.00","80.00","0.00","0.00","0.00","0 kg","","","","16.06.2025","","","","","","17.06.2021","ja","0.00","0.00","0.00","","","195","384","360","","","","","","","",""
"","","","","","","","","","","","","","0.00","","80.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","18./19.10.2022 Umstellung DNS-Server für neue Vogelsang Website","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","18./19.10.2022 Umstellung DNS-Server für neue Vogelsang Website","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","05.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","18.3.2022 Testen des gesamten Netzwerks im Treffpunkt Vogelsang wegen teilweise schlechter Übertragungsgeschwindigkeiten (Ticket #134)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","04.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","18.3.2022 Testen des gesamten Netzwerks im Treffpunkt Vogelsang wegen teilweise schlechter Übertragungsgeschwindigkeiten (Ticket #134)","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","05.12.2022","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","18.5.2015 Support in Winterthur","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","01.05.2014","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"D12","D","18.5.2015 Support in Winterthur","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","50.00","0.00","0.00","0.00","0.00","0 kg","","","","29.12.2015","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","18.6.2024 Wiederherstellen der Ordner 'Verkauf → Marketing' und 'Verkauf Onlineshop' aus den Server-Backups","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","100.00","0.00","0.00","0.00","0.00","0 kg","","","","24.07.2024","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
"","","","","","","","","","","","","","0.00","","0.00","","","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D12","D","18 mal Support zu Hause Januar 2013 bis Juli 2015","","Dienstleistung (Stunden)","","","","","0","0","Std","0.00","0.00","70.00","0.00","0.00","0.00","0.00","0 kg","","","","01.01.2013","","","","","","29.09.2007","nein","0.00","0.00","0.00","","","","","","","","","","","","",""
